sku,precio_reales
3180.0,"639,00"
3204.0,"459,00"
11919.0,"2.329,00"
15354.0,"2.329,00"
4584.0,"2.329,00"
9020.0,"2.469,00"
6553.0,"2.469,00"
7085.0,"2.469,00"
10352.0,"1.939,00"
9204.0,"1.939,00"
2722.0,"2.469,00"
12114.0,"2.469,00"
6355.0,"559,00"
10952.0,"2.469,00"
12606.0,"1.939,00"
10812.0,"499,00"
10506.0,"1.939,00"
185.0,"2.329,00"
9848.0,"1.939,00"
8597.0,"2.469,00"
10729.0,"2.329,00"
10366.0,"1.939,00"
10364.0,"2.469,00"
5136.0,"2.329,00"
2745.0,"2.469,00"
10450.0,"1.939,00"
4968.0,"2.329,00"
2838.0,"2.469,00"
10436.0,"499,00"
11736.0,"2.469,00"
3047.0,"2.469,00"
9006.0,"2.469,00"
9610.0,"1.939,00"
11402.0,"1.939,00"
15533.0,"2.469,00"
7014.0,"2.329,00"
2723.0,"2.469,00"
13474.0,"1.939,00"
13460.0,"1.939,00"
11709.0,"2.329,00"
13138.0,"2.689,00"
11794.0,"1.939,00"
3036.0,"2.329,00"
2823.0,"2.469,00"
13488.0,"4.079,00"
6383.0,"1.939,00"
6987.0,"1.769,00"
248.0,"2.329,00"
417.0,"569,00"
416.0,"469,00"
15685.0,"1.939,00"
6635.0,"1.939,00"
3181.0,"499,00"
10800.0,"1.939,00"
7336.0,"2.329,00"
8119.0,"1.939,00"
8344.0,"2.329,00"
8345.0,"2.469,00"
2836.0,"2.469,00"
8301.0,"1.939,00"
10799.0,"529,00"
10743.0,"2.329,00"
11415.0,"2.329,00"
3397.0,"1.939,00"
241.0,"2.329,00"
269.0,"2.329,00"
11416.0,"1.939,00"
2714.0,"2.469,00"
11414.0,"2.469,00"
6986.0,"1.899,00"
11430.0,"1.939,00"
8950.0,"2.469,00"
7195.0,"1.939,00"
15760.0,"1.939,00"
10910.0,"819,00"
7112.0,"2.329,00"
262.0,"2.329,00"
4285.0,"1.939,00"
8303.0,"2.469,00"
